,year,month,day,hour,generation solar,generation wind onshore,temp,pressure,humidity,wind_speed,weather_id,hour_y,weekday,month_y,business hour
2014-12-31 23:00:00,2014,12,31,23,49.0,6378.0,269.6573125,1036.0,97.0,0.0,800.0,23.0,0.0,12.0,0.0
2015-01-01 00:00:00,2015,1,1,0,50.0,5890.0,269.7635,1035.0,97.0,0.0,800.0,0.0,0.0,1.0,0.0
2015-01-01 01:00:00,2015,1,1,1,50.0,5461.0,269.2516875,1036.0,97.0,1.0,800.0,1.0,0.0,1.0,0.0
2015-01-01 02:00:00,2015,1,1,2,50.0,5238.0,269.20334375,1035.0,97.0,1.0,800.0,2.0,0.0,1.0,0.0
2015-01-01 03:00:00,2015,1,1,3,42.0,4935.0,269.4855,1035.0,97.0,1.0,800.0,3.0,0.0,1.0,0.0
2015-01-01 04:00:00,2015,1,1,4,34.0,4618.0,269.327,1035.0,97.0,1.0,800.0,4.0,0.0,1.0,0.0
2015-01-01 05:00:00,2015,1,1,5,34.0,4397.0,269.499,1035.0,97.0,1.0,800.0,5.0,0.0,1.0,0.0
2015-01-01 06:00:00,2015,1,1,6,35.0,3992.0,270.94,1036.0,95.0,1.0,800.0,6.0,0.0,1.0,0.0
2015-01-01 07:00:00,2015,1,1,7,54.0,3629.0,270.689,1036.0,96.0,1.0,800.0,7.0,0.0,1.0,0.0
2015-01-01 08:00:00,2015,1,1,8,743.0,3073.0,271.707,1036.0,95.0,1.0,800.0,8.0,0.0,1.0,0.0
2015-01-01 09:00:00,2015,1,1,9,2019.0,2683.0,276.869,1036.0,71.0,1.0,800.0,9.0,0.0,1.0,2.0
2015-01-01 10:00:00,2015,1,1,10,3197.0,2771.0,276.5056875,1036.0,78.0,1.0,800.0,10.0,0.0,1.0,2.0
2015-01-01 11:00:00,2015,1,1,11,3885.0,2906.0,280.28634375,1036.0,62.0,1.0,800.0,11.0,0.0,1.0,2.0
2015-01-01 12:00:00,2015,1,1,12,4007.0,2923.0,278.7895,1036.0,73.0,1.0,800.0,12.0,0.0,1.0,2.0
2015-01-01 13:00:00,2015,1,1,13,3973.0,2945.0,284.32934375,1036.0,48.0,1.0,800.0,13.0,0.0,1.0,2.0
2015-01-01 14:00:00,2015,1,1,14,3818.0,2709.0,284.5916875,1035.0,49.0,0.0,800.0,14.0,0.0,1.0,1.0
2015-01-01 15:00:00,2015,1,1,15,3088.0,2552.0,280.1705,1036.0,65.0,1.0,800.0,15.0,0.0,1.0,1.0
2015-01-01 16:00:00,2015,1,1,16,1467.0,2699.0,281.994,1035.0,62.0,0.0,800.0,16.0,0.0,1.0,1.0
2015-01-01 17:00:00,2015,1,1,17,404.0,2764.0,279.134,1035.0,73.0,0.0,800.0,17.0,0.0,1.0,2.0
2015-01-01 18:00:00,2015,1,1,18,139.0,2913.0,279.235,1036.0,72.0,1.0,801.0,18.0,0.0,1.0,2.0
2015-01-01 19:00:00,2015,1,1,19,100.0,3118.0,275.388,1036.0,87.0,1.0,801.0,19.0,0.0,1.0,2.0
2015-01-01 20:00:00,2015,1,1,20,75.0,3373.0,274.502,1036.0,90.0,1.0,801.0,20.0,0.0,1.0,2.0
2015-01-01 21:00:00,2015,1,1,21,74.0,3508.0,274.839,1036.0,88.0,1.0,800.0,21.0,0.0,1.0,0.0
2015-01-01 22:00:00,2015,1,1,22,56.0,3527.0,273.5453125,1036.0,92.0,1.0,801.0,22.0,0.0,1.0,0.0
2015-01-01 23:00:00,2015,1,1,23,54.0,13232.0,273.47465625,1036.0,92.0,2.0,800.0,23.0,0.0,1.0,0.0
2015-01-02 00:00:00,2015,1,2,0,54.0,12760.0,272.5025,1036.0,93.0,1.0,801.0,0.0,0.0,1.0,0.0
2015-01-02 01:00:00,2015,1,2,1,54.0,12174.0,272.73234375,1036.0,93.0,1.0,800.0,1.0,0.0,1.0,0.0
2015-01-02 02:00:00,2015,1,2,2,53.0,11358.0,272.06065625,1036.0,93.0,1.0,800.0,2.0,0.0,1.0,0.0
2015-01-02 03:00:00,2015,1,2,3,53.0,11199.0,272.093,1037.0,94.0,1.0,800.0,3.0,0.0,1.0,0.0
2015-01-02 04:00:00,2015,1,2,4,63.0,11152.0,271.1866875,1037.0,94.0,1.0,800.0,4.0,0.0,1.0,0.0
2015-01-02 05:00:00,2015,1,2,5,55.0,11169.0,270.98434375,1037.0,95.0,1.0,801.0,5.0,0.0,1.0,0.0
2015-01-02 06:00:00,2015,1,2,6,54.0,11205.0,272.387,1037.0,93.0,1.0,801.0,6.0,0.0,1.0,0.0
2015-01-02 07:00:00,2015,1,2,7,116.0,10920.0,271.64965625,1037.0,95.0,1.0,801.0,7.0,0.0,1.0,0.0
2015-01-02 08:00:00,2015,1,2,8,1039.0,10491.0,272.51734375,1038.0,94.0,1.0,801.0,8.0,0.0,1.0,0.0
2015-01-02 09:00:00,2015,1,2,9,2373.0,10156.0,277.76,1038.0,72.0,1.0,801.0,9.0,0.0,1.0,2.0
2015-01-02 10:00:00,2015,1,2,10,3699.0,10421.0,277.16934375,1038.0,78.0,1.0,801.0,10.0,0.0,1.0,2.0
2015-01-02 11:00:00,2015,1,2,11,4154.0,11230.0,280.9536875,1038.0,64.0,1.0,801.0,11.0,0.0,1.0,2.0
2015-01-02 12:00:00,2015,1,2,12,4074.0,11920.0,279.142,1038.0,76.0,1.0,801.0,12.0,0.0,1.0,2.0
2015-01-02 13:00:00,2015,1,2,13,3851.0,11819.0,284.79165625,1038.0,52.0,1.0,801.0,13.0,0.0,1.0,2.0
2015-01-02 14:00:00,2015,1,2,14,3619.0,11961.0,284.84534375,1038.0,55.0,1.0,801.0,14.0,0.0,1.0,1.0
2015-01-02 15:00:00,2015,1,2,15,3024.0,12025.0,280.995,1038.0,69.0,1.0,801.0,15.0,0.0,1.0,1.0
2015-01-02 16:00:00,2015,1,2,16,2053.0,12077.0,282.35,1038.0,69.0,0.0,801.0,16.0,0.0,1.0,1.0
2015-01-02 17:00:00,2015,1,2,17,769.0,11276.0,279.801,1038.0,79.0,1.0,801.0,17.0,0.0,1.0,2.0
2015-01-02 18:00:00,2015,1,2,18,266.0,10510.0,279.3805,1038.0,75.0,1.0,800.0,18.0,0.0,1.0,2.0
2015-01-02 19:00:00,2015,1,2,19,165.0,10406.0,276.122,1038.0,90.0,1.0,801.0,19.0,0.0,1.0,2.0
2015-01-02 20:00:00,2015,1,2,20,137.0,10445.0,274.992,1038.0,91.0,1.0,800.0,20.0,0.0,1.0,2.0
2015-01-02 21:00:00,2015,1,2,21,137.0,9976.0,275.08,1037.0,92.0,1.0,800.0,21.0,0.0,1.0,0.0
2015-01-02 22:00:00,2015,1,2,22,137.0,9527.0,273.54400000000004,1038.0,94.0,1.0,800.0,22.0,0.0,1.0,0.0
2015-01-02 23:00:00,2015,1,2,23,62.0,9264.0,273.226,1037.0,95.0,1.0,800.0,23.0,0.0,1.0,0.0
2015-01-03 00:00:00,2015,1,3,0,62.0,9135.0,273.335,1037.0,93.0,1.0,800.0,0.0,1.0,1.0,0.0
2015-01-03 01:00:00,2015,1,3,1,61.0,9362.0,272.87465625,1037.0,95.0,1.0,800.0,1.0,1.0,1.0,0.0
2015-01-03 02:00:00,2015,1,3,2,61.0,9628.0,272.84134375,1036.0,95.0,1.0,800.0,2.0,1.0,1.0,0.0
2015-01-03 03:00:00,2015,1,3,3,61.0,9607.0,272.775,1036.0,95.0,1.0,800.0,3.0,1.0,1.0,0.0
2015-01-03 04:00:00,2015,1,3,4,61.0,9666.0,272.75265625,1035.0,94.0,1.0,800.0,4.0,1.0,1.0,0.0
2015-01-03 05:00:00,2015,1,3,5,61.0,9743.0,272.6973125,1035.0,94.0,1.0,800.0,5.0,1.0,1.0,0.0
2015-01-03 06:00:00,2015,1,3,6,63.0,9401.0,273.4445,1036.0,92.0,1.0,800.0,6.0,1.0,1.0,0.0
2015-01-03 07:00:00,2015,1,3,7,233.0,8363.0,273.1216875,1035.0,93.0,1.0,801.0,7.0,1.0,1.0,0.0
2015-01-03 08:00:00,2015,1,3,8,820.0,7924.0,273.6013125,1036.0,91.0,1.0,801.0,8.0,1.0,1.0,0.0
2015-01-03 09:00:00,2015,1,3,9,1665.0,7592.0,278.3975,1036.0,72.0,1.0,800.0,9.0,1.0,1.0,2.0
2015-01-03 10:00:00,2015,1,3,10,2488.0,7874.0,277.4383125,1036.0,76.0,1.0,800.0,10.0,1.0,1.0,2.0
