,time,month,day,hour,generation solar,generation wind onshore,temp,pressure,humidity,wind_speed,weather_id
0,2014-12-31 23:00:00+00:00,12.0,31.0,23.0,49.0,6378.0,272.4914625,1016.4,82.4,2.0,800.0
1,2015-01-01 00:00:00+00:00,1.0,1.0,0.0,50.0,5890.0,272.5127,1016.2,82.4,2.0,800.0
2,2015-01-01 01:00:00+00:00,1.0,1.0,1.0,50.0,5461.0,272.0991375,1016.8,82.0,2.4,800.0
3,2015-01-01 02:00:00+00:00,1.0,1.0,2.0,50.0,5238.0,272.08946875,1016.6,82.0,2.4,800.0
4,2015-01-01 03:00:00+00:00,1.0,1.0,3.0,42.0,4935.0,272.1459,1016.6,82.0,2.4,800.0
5,2015-01-01 04:00:00+00:00,1.0,1.0,4.0,34.0,4618.0,272.024,1017.4,82.6,2.4,800.0
6,2015-01-01 05:00:00+00:00,1.0,1.0,5.0,34.0,4397.0,272.0584,1017.4,82.6,2.4,800.0
7,2015-01-01 06:00:00+00:00,1.0,1.0,6.0,35.0,3992.0,272.3466,1017.6,82.2,2.4,800.0
8,2015-01-01 07:00:00+00:00,1.0,1.0,7.0,54.0,3629.0,273.9936,1018.8,81.2,1.4,800.0
9,2015-01-01 08:00:00+00:00,1.0,1.0,8.0,743.0,3073.0,274.1972,1018.8,81.0,1.4,800.0
10,2015-01-01 09:00:00+00:00,1.0,1.0,9.0,2019.0,2683.0,275.2296,1018.8,76.2,1.4,800.0
11,2015-01-01 10:00:00+00:00,1.0,1.0,10.0,3197.0,2771.0,282.2453375,1019.2,72.4,1.8,800.0
12,2015-01-01 11:00:00+00:00,1.0,1.0,11.0,3885.0,2906.0,283.00146875,1019.2,69.2,1.8,800.0
13,2015-01-01 12:00:00+00:00,1.0,1.0,12.0,4007.0,2923.0,282.7021,1019.2,71.4,1.8,800.0
14,2015-01-01 13:00:00+00:00,1.0,1.0,13.0,3973.0,2945.0,284.35119375,1032.2,52.8,2.0,800.0
